gene_name	description	ebi_biotype
PF3D7-0114500	Plasmodium_exported_protein_(hyp10)%2C_unknown_function	protein_coding
PF3D7-0114600	stevor%2C_pseudogene	pseudogene
PF3D7-0114700	RIF_PIR_protein	protein_coding
PF3D7-0114750	Plasmodium_exported_protein%2C_unknown_function%2C_fragment	protein_coding
PF3D7-0114800	Plasmodium_exported_protein_(hyp7)%2C_unknown_function	protein_coding
PF3D7-0114900	Plasmodium_exported_protein%2C_unknown_function%2C_pseudogene	pseudogene
PF3D7-0115000	SURF1.3_surface-associated_interspersed_protein_1.3_(SURFIN_1.3)	protein_coding
PF3D7-0115050	H/ACA_snoRNA	snoRNA
PF3D7-0115100	Plasmodium_exported_protein_(PHISTa)%2C_unknown_function	protein_coding
PF3D7-0115150	Plasmodium_exported_protein%2C_unknown_function%2C_pseudogene	pseudogene
PF3D7-0115200	RIF_PIR_protein	protein_coding
PF3D7-0115300	RIF_PIR_protein	protein_coding
PF3D7-0115400	PIR_protein	protein_coding
PF3D7-0115500	erythrocyte_membrane_protein_1_(PfEMP1)%2C_pseudogene	pseudogene
PF3D7-0115600	RIF_PIR_protein	protein_coding
PF3D7-0115700	VAR_erythrocyte_membrane_protein_1%2C_PfEMP1	protein_coding
PF3D7-0200100	VAR_erythrocyte_membrane_protein_1%2C_PfEMP1	protein_coding
PF3D7-0200200	RIF_PIR_protein	protein_coding
PF3D7-0200300	erythrocyte_membrane_protein_1_(PfEMP1)%2C_exon_2	protein_coding
PF3D7-0200400	PIR_protein	protein_coding
PF3D7-0200500	RIF_PIR_protein	protein_coding
PF3D7-0200600	RIF_PIR_protein	protein_coding
PF3D7-0200700	RIF_PIR_protein	protein_coding
PF3D7-0200800	erythrocyte_membrane_protein_1_(PfEMP1)%2C_exon_2%2C_pseudogene	pseudogene
PF3D7-0200900	PIR_protein%2C_pseudogene	pseudogene
PF3D7-0201000	RIF_PIR_protein	protein_coding
PF3D7-0201100	Plasmodium_exported_protein%2C_unknown_function%2C_fragment	protein_coding
PF3D7-0201200	RIF_PIR_protein	protein_coding
PF3D7-0201300	PIR_protein	protein_coding
PF3D7-0201400	Plasmodium_exported_protein_(hyp10)%2C_unknown_function	protein_coding
PF3D7-0201500	Plasmodium_exported_protein_(hyp9)%2C_unknown_function	protein_coding
PF3D7-0201600	RLP1_PHISTb_domain-containing_RESA-like_protein_1	protein_coding
PF3D7-0201700	DnaJ_protein%2C_putative	protein_coding
PF3D7-0201800	KAHsp40_knob_associated_heat_shock_protein_40	protein_coding
PF3D7-0201900	EMP3_erythrocyte_membrane_protein_3	protein_coding
PF3D7-0202000	KAHRP_knob-associated_histidine-rich_protein	protein_coding
PF3D7-0202100	LSAP2_Plasmodium_exported_protein_(PHISTc)%2C_unknown_function	protein_coding
PF3D7-0202200	PTP1_EMP1-trafficking_protein	protein_coding
PF3D7-0202300	Plasmodium_exported_protein_(hyp11)%2C_unknown_function	protein_coding
PF3D7-0202400	PTEF_translation-enhancing_factor	protein_coding
PF3D7-0202500	ETRAMP2_early_transcribed_membrane_protein_2	protein_coding
PF3D7-0202600	nucleic_acid-binding_protein%2C_putative	protein_coding
PF3D7-0202700	OPP_octaprenyl_pyrophosphate_synthase	protein_coding
PF3D7-0202800	conserved_Plasmodium_protein%2C_unknown_function	protein_coding
PF3D7-0202900	DHHC12_palmitoyltransferase_DHHC12%2C_putative	protein_coding
PF3D7-0203000	ROPE_repetitive_organellar_protein%2C_putative	protein_coding
